Marque,Modele,Annee_modele,Km,Date_premiere_mise_en_circulation,Carburant,Boite_vitesse,Puissance,Critere_air,Couleur,Type_vehicule,Pays,Prix_neuf,Prix_occasion
Audi,A6,2021,62310,2023-05-29,Hybride,Manuelle,150,Euro 1,Noir,Berline,USA,72000,65025.0
Audi,A6,2018,63558,2020-04-07,Gaz,Automatique,200,Euro 5,Noir,Berline,Japon,72000,58900.0
Audi,A6,2022,212340,2025-02-02,Hybride,Automatique,130,Euro 1,Rouge,SUV,Italie,72000,57159.0
Audi,A6,2023,129823,2025-08-23,Electrique,Automatique,130,Euro 1,Gris,Monospace,USA,72000,68255.0
Audi,A6,2023,204613,2025-10-01,Essence,Automatique,130,Euro 6,Gris,SUV,Espagne,72000,57211.0
Audi,A6,2020,36894,2022-09-18,Diesel,Manuelle,200,Euro 6,Gris,SUV,France,72000,62900.0
Audi,A6,2019,55324,2020-01-27,Hybride,Automatique,110,Euro 1,Gris,Break,France,72000,62480.0
Audi,A6,2021,16718,2021-11-26,Gaz,Automatique,110,Euro 6,Rouge,Berline,Espagne,72000,68940.0
Audi,A6,2024,110735,2024-05-30,Gaz,Automatique,110,Euro 6,Gris,Crossover,Japon,72000,68174.0
Audi,A6,2020,134674,2022-02-10,Essence,Automatique,90,Euro 6,Blanc,Break,Allemagne,72000,55425.0
Audi,A6,2020,125652,2020-01-20,Electrique,Automatique,200,Euro 1,Blanc,Crossover,USA,72000,61560.0
Audi,A6,2020,129936,2023-02-20,Electrique,Manuelle,110,Euro 1,Blanc,Crossover,Allemagne,72000,59356.0
Audi,A6,2024,112826,2024-08-27,Electrique,Automatique,110,Euro 1,Rouge,SUV,Allemagne,72000,71289.0
Audi,A6,2021,145908,2024-11-22,Hybride,Automatique,110,Euro 1,Bleu,SUV,Italie,72000,60137.0
Audi,A6,2019,62610,2019-08-31,Essence,Automatique,130,Euro 5,Gris,Break,Espagne,72000,58697.0
Audi,A6,2019,118630,2021-06-11,Hybride,Automatique,90,Euro 1,Rouge,Break,Italie,72000,57646.0
Audi,A6,2023,28733,2024-01-15,Gaz,Automatique,110,Euro 6,Blanc,Berline,USA,72000,72770.0
Audi,A6,2021,26077,2024-05-13,Diesel,Manuelle,90,Euro 6,Blanc,Crossover,Japon,72000,64881.0
Audi,A6,2024,76526,2025-06-09,Gaz,Automatique,110,Euro 6,Bleu,Break,Italie,72000,71238.0
Audi,A6,2019,82133,2019-04-21,Essence,Manuelle,150,Euro 5,Gris,Break,Japon,72000,55825.0
Audi,A6,2018,31498,2020-06-28,Diesel,Manuelle,110,Euro 5,Bleu,Break,Japon,72000,57749.0
Audi,A6,2023,176547,2026-04-17,Essence,Automatique,150,Euro 6,Gris,Break,France,72000,59600.0
Audi,A6,2020,157512,2021-12-16,Essence,Manuelle,200,Euro 6,Bleu,Monospace,France,72000,53290.0
Audi,A6,2018,205692,2020-04-27,Gaz,Manuelle,130,Euro 5,Bleu,Monospace,Allemagne,72000,46376.0
Audi,A6,2019,89348,2020-12-17,Electrique,Manuelle,110,Euro 1,Rouge,Berline,France,72000,60137.0
Audi,A6,2020,224688,2020-12-06,Essence,Manuelle,90,Euro 6,Blanc,Monospace,Allemagne,72000,47454.0
Audi,A6,2023,87692,2024-07-13,Hybride,Manuelle,200,Euro 1,Blanc,Crossover,France,72000,68530.0
Audi,A6,2021,234212,2023-06-11,Gaz,Automatique,200,Euro 6,Noir,Crossover,USA,72000,52700.0
Audi,A6,2021,193345,2022-02-16,Gaz,Automatique,90,Euro 6,Rouge,SUV,Allemagne,72000,55008.0
Audi,A6,2023,152791,2024-11-03,Hybride,Automatique,150,Euro 1,Noir,Berline,Allemagne,72000,64370.0
Audi,A6,2022,163601,2024-04-24,Diesel,Manuelle,200,Euro 6,Rouge,Crossover,Japon,72000,57720.0
Audi,A6,2024,57361,2026-10-17,Electrique,Manuelle,110,Euro 1,Gris,Break,Japon,72000,74195.0
Audi,A6,2024,224240,2027-11-13,Electrique,Automatique,90,Euro 1,Noir,Break,USA,72000,62322.0
Audi,A6,2018,146615,2019-06-18,Gaz,Manuelle,90,Euro 5,Noir,Monospace,Japon,72000,50592.0
Audi,A6,2023,229422,2025-08-03,Gaz,Automatique,90,Euro 6,Gris,Berline,Italie,72000,57300.0
Audi,A6,2021,29368,2024-08-03,Diesel,Automatique,200,Euro 6,Rouge,Berline,Italie,72000,67640.0
Audi,A6,2020,201763,2023-03-25,Diesel,Automatique,110,Euro 6,Noir,Berline,Italie,72000,51068.0
Audi,A6,2022,237229,2025-12-10,Electrique,Automatique,130,Euro 1,Bleu,Berline,Allemagne,72000,57013.0
